Wn	Wp	Vout	Vin
3.95	4.1	8.994805e-01	7.590000e-01
3.95	4.2	8.990240e-01	7.620000e-01
3.95	4.55	8.995685e-01	7.720000e-01
4	1.3	8.994239e-01	6.410000e-01
4	1.35	9.009164e-01	6.440000e-01
4	1.4	9.009658e-01	6.470000e-01
4	1.45	8.996649e-01	6.500000e-01
4	1.8	9.008590e-01	6.690000e-01
4	2.15	8.993226e-01	6.860000e-01
4	2.4	9.008038e-01	6.970000e-01
4	4.05	8.997601e-01	7.560000e-01
4	4.15	8.996211e-01	7.590000e-01
4.05	1	9.000699e-01	6.200000e-01
4.05	1.1	9.003882e-01	6.270000e-01
4.05	1.3	8.998411e-01	6.400000e-01
4.05	1.4	9.008089e-01	6.460000e-01
4.05	1.45	8.992288e-01	6.490000e-01
4.05	2.5	9.004179e-01	7.000000e-01
4.05	2.8	9.007449e-01	7.120000e-01
4.05	2.85	8.991532e-01	7.140000e-01
4.05	3.15	9.009032e-01	7.250000e-01
4.05	3.9	8.991737e-01	7.500000e-01
4.05	4	9.004223e-01	7.530000e-01
4.05	4.1	9.006040e-01	7.560000e-01
4.05	4.2	8.997583e-01	7.590000e-01
4.05	4.55	8.990506e-01	7.690000e-01
4.05	4.7	9.009790e-01	7.730000e-01
4.05	5	8.992133e-01	7.810000e-01
4.1	1.3	9.005965e-01	6.390000e-01
4.1	1.4	9.009965e-01	6.450000e-01
4.1	1.45	8.991401e-01	6.480000e-01
4.1	2.05	9.003223e-01	6.790000e-01
4.1	3.3	8.996211e-01	7.290000e-01
4.1	3.6	9.008111e-01	7.390000e-01
4.1	3.85	8.998697e-01	7.470000e-01
4.1	4.25	8.998922e-01	7.590000e-01
4.15	1.25	8.995187e-01	6.350000e-01
4.15	1.45	8.993907e-01	6.470000e-01
4.15	1.65	9.003104e-01	6.580000e-01
4.15	3	9.000537e-01	7.170000e-01
4.15	3.55	9.009492e-01	7.360000e-01
4.15	3.8	9.009216e-01	7.440000e-01
4.15	4.3	9.000227e-01	7.590000e-01
4.15	4.55	9.002816e-01	7.660000e-01
4.15	5	8.990614e-01	7.780000e-01
4.2	1.45	8.999727e-01	6.460000e-01
4.2	1.65	8.998850e-01	6.570000e-01
4.2	2.3	8.995988e-01	6.880000e-01
4.2	2.9	9.009305e-01	7.120000e-01
4.2	4.35	9.001502e-01	7.590000e-01
4.2	4.75	8.994293e-01	7.700000e-01
4.25	1.2	8.999884e-01	6.300000e-01
4.25	1.45	9.008781e-01	6.450000e-01
4.25	1.65	8.997933e-01	6.560000e-01
4.25	1.95	9.001845e-01	6.710000e-01
4.25	2.1	8.998686e-01	6.780000e-01
4.25	2.35	8.996696e-01	6.890000e-01
4.25	3.6	9.002479e-01	7.350000e-01
